Date,Category,Sales
2024-04-08,GMC,312
2024-03-06,Hyundai,476
2023-12-22,Ford,340
2024-03-23,Dodge,843
2023-10-23,Morgan,158
2023-09-18,Chevrolet,962
2023-08-21,Toyota,79
2023-10-12,Buick,448
2023-12-13,Dodge,312
2023-06-19,MINI,206
2023-12-10,Chevrolet,488
2024-06-01,Ford,89
2024-04-17,Volvo,572
2024-02-14,Chevrolet,219
2023-11-28,Daewoo,510
2023-06-12,Volkswagen,254
2024-02-03,Ford,702
2023-10-28,Ford,138
2023-09-13,Mercury,774
2023-06-19,Acura,224
2023-09-15,Mitsubishi,51
2024-01-06,Suzuki,310
2023-10-07,Volkswagen,318
2023-06-18,Land Rover,527
2023-10-10,Porsche,209
2023-11-03,Ford,608
2023-11-03,Dodge,702
2024-04-15,Chevrolet,618
2023-07-15,Subaru,274
2023-11-29,Mercedes-Benz,248
2024-05-09,Hummer,135
2023-07-24,BMW,942
2023-12-13,Buick,477
2024-06-09,Pontiac,387
2024-05-02,Acura,596
2024-05-02,Chevrolet,232
